variant,rc,n,ratio_mean,ratio_ci95,psnr_mean,wall_mean,identical_all,frames_I,frames_P,frames_B,ratio_delta_pct,wall_delta_pct,psnr_delta_db
aq2,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.61706,False,1.0,2.0,7.0,0.0,-0.4517149033652412,0.0
aq3,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.62524,False,1.0,2.0,7.0,0.0,0.8679379214661553,0.0
b-intra,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.63242,False,1.0,2.0,7.0,0.0,2.0262639950956896,0.0
baseline,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.6198599999999999,False,1.0,2.0,7.0,0.0,0.0,0.0
early-skip,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.63144,False,1.0,2.0,7.0,0.0,1.868163778917853,0.0
no-cutree,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.61996,False,1.0,2.0,7.0,0.0,0.016132675120195117,0.0
no-deblock,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.59914,False,1.0,2.0,7.0,0.0,-3.342690284903016,0.0
no-rect,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.60992,False,1.0,2.0,7.0,0.0,-1.6035879069467018,0.0
no-tmvp,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.61802,False,1.0,2.0,7.0,0.0,-0.2968412222114414,0.0
psy-rd2,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.62586,False,1.0,2.0,7.0,0.0,0.9679605072113295,0.0
rd3,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.6233,False,1.0,2.0,7.0,0.0,0.5549640241345077,0.0
rdoq0,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.6162599999999999,False,1.0,2.0,7.0,0.0,-0.5807763043267689,0.0
sao,qp32,5,0.45537353515624995,0.0013337441688944063,27.432799999999997,0.61574,False,1.0,2.0,7.0,0.0,-0.6646662149517479,0.0
no-early-skip,qp32,5,0.45537658691406246,0.001333744168894429,27.432799999999997,0.60982,False,1.0,2.0,7.0,0.0006701658258334575,-1.6197205820668859,0.0
no-open-gop,qp32,5,0.45537658691406246,0.001333744168894429,27.432799999999997,0.6254799999999999,False,1.0,2.0,7.0,0.0006701658258334575,0.906656341754597,0.0
ref5,qp32,5,0.4554779052734375,0.001174633928465958,27.4343,0.6265,False,1.0,2.0,7.0,0.022919671243459838,1.0712096279805294,0.0015000000000036096
weightb,qp32,5,0.45548258463541663,0.0017166129251283717,27.439479999999996,0.62054,False,1.0,2.0,7.0,0.02394725884307114,0.10970219081729571,0.006679999999999353
no-strong-intra-smoothing,qp32,5,0.4555810546875,0.0008069758083570457,27.429840000000002,0.63064,False,1.0,2.0,7.0,0.04557127615658629,1.7391023779563364,-0.0029599999999945226
deblock,qp32,5,0.4558146158854167,0.0015637008984944125,27.42834,0.6163,False,1.0,2.0,7.0,0.09686130069359589,-0.5743232342786952,-0.004459999999998132
constrained-intra,qp32,5,0.4560050455729166,0.0011324463204277282,27.4381,0.60886,False,1.0,2.0,7.0,0.1386796482254926,-1.774594263220708,0.005300000000001859
psy-rdoq2.5,qp32,5,0.4563791910807291,0.0001910832372040476,29.9341,1.23284,False,1.0,2.0,7.0,0.22084197847247466,98.89007195173107,2.501300000000004
no-deblock-eff,qp32,5,0.45658630371093745,0.0014337609982197142,27.529739999999997,0.45842,False,1.0,2.0,7.0,0.2663238991856165,-26.04459071403219,0.09694000000000003
tskip,qp32,5,0.4596136474609375,0.0021501344972140613,27.5437,0.69472,False,1.0,2.0,7.0,0.9311283984109187,12.076920594973096,0.11090000000000444
tskip-fast,qp32,5,0.45980957031249997,0.002005514070651715,27.53668,0.63344,False,1.0,2.0,7.0,0.9741530444293156,2.190817281321622,0.10388000000000375
no-signhide,qp32,5,0.4624544270833333,0.0012459599798022472,27.043859999999995,0.5445800000000001,False,1.0,2.0,7.0,1.554963426817002,-12.144677830477823,-0.3889400000000016
ctu16,qp32,5,0.4627166748046875,0.0011351576839932394,27.19982,0.36396,False,1.0,2.0,7.0,1.612553010116824,-41.28351563256217,-0.23297999999999774
scenecut-default,qp32,5,0.46638570149739583,0.0016790865084145873,27.889339999999997,0.61974,False,2.0,2.0,6.0,2.418271043653708,-0.019359210144209715,0.4565400000000004
amp-rect-rd5,qp32,5,0.47672953287760417,0.0006529356564510038,28.3149,1.34378,False,1.0,2.0,7.0,4.689775771450222,116.78766173006814,0.8821000000000048
amp-rd5,qp32,5,0.47692687988281246,0.0003280151735298009,28.334039999999998,0.87906,False,1.0,2.0,7.0,4.733113161520697,41.81589391152845,0.9012400000000014
rd5-only-check,qp32,5,0.47692687988281246,0.0003280151735298009,28.334039999999998,0.8640399999999999,False,1.0,2.0,7.0,4.733113161520697,39.39276610847613,0.9012400000000014
rd5,qp32,5,0.47700154622395835,0.00030832054463809266,28.337359999999997,1.16176,False,1.0,2.0,7.0,4.749509885392733,87.42296647630113,0.90456
