config,qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p
256x256 f30 IPB,4,10,1.2468704223632812,0.0002137612223571591,0.00015291556664192462,1.2466224670410155,1.2469078911675346,1.2471673583984375,0.0,24498.55,4.203382236035907,5.230000000000001,52.78453,52.61908,53.13623,53.13507,1.02582,0.3986592071360274
256x256 f30 IPB,8,10,1.0848682996961805,0.000836850249522093,0.0005986466052589031,1.0840218268500437,1.084752400716146,1.0863034057617187,0.0,21313.459000000003,16.45458223920175,9.23,49.80538,49.68218,50.06055,50.06507,1.1285399999999999,0.1694176686597486
256x256 f30 IPB,10,10,1.0168047417534722,0.0005408041822427853,0.00038686800654519436,1.015930413140191,1.0169818454318578,1.0173837110731336,0.0,19975.269,10.632194766630498,11.23,48.12187,48.027660000000004,48.314080000000004,48.31929,1.15598,0.4840570226915314
256x256 f30 IPB,12,10,0.9511759779188367,0.0011051620782302105,0.0007905853248788729,0.9497274610731337,0.9512778388129339,0.9527207099066839,1.0,18684.953999999998,21.729193982085835,13.23,46.23688,46.20186,46.3103,46.30536,1.21204,0.8514089623838976
256x256 f30 IPB,14,10,0.8978136528862848,0.0012748128370554726,0.000911946166807688,0.8960844590928819,0.8976416693793403,0.8996838887532551,1.0,17635.808,25.061498048689366,15.229999999999999,44.28178,44.40406,44.047839999999994,44.04641,1.25636,0.4347095774320724
256x256 f30 IPB,16,10,0.8442068142361112,0.0008097757144878982,0.0005792786496462472,0.843203362358941,0.8439705742730035,0.8454952663845486,1.0,16581.854,15.921568320293156,17.229999999999997,42.41905,42.60557000000001,42.065740000000005,42.07115,1.2429700000000001,0.5669009649765905
256x256 f30 IPB,18,10,0.7867178683810765,0.0005154247219251275,0.0003687126343371495,0.7861129421657986,0.7865573459201389,0.7874225701226129,1.0,15451.575999999997,10.133323684206035,19.229999999999997,40.51022999999999,40.64388,40.254509999999996,40.254850000000005,1.2862699999999998,0.6317661246811908
256x256 f30 IPB,20,10,0.7336818101671007,0.0009681890024415704,0.000692600689181426,0.7326145595974393,0.733467780219184,0.7352941555447049,1.0,14408.847,19.035140632232853,21.229999999999997,38.640370000000004,38.74804999999999,38.432339999999996,38.432919999999996,1.3103500000000001,0.3318076113383076
256x256 f30 IPB,24,10,0.6335177273220486,0.0005943088813991618,0.0004251429625885911,0.6326644388834635,0.6334930419921875,0.6342328389485676,1.0,12439.537,11.684333338088006,25.229999999999997,34.713249999999995,34.82074,34.50748,34.50438,1.3230600000000001,0.7094802343901284
256x256 f30 IPB,28,10,0.5411528862847221,0.0007290665316967826,0.0005215427783613739,0.5400883314344618,0.5411517673068575,0.5420234849717882,1.0,10623.573,14.335431668112117,29.23,31.016119999999994,30.953570000000003,31.144479999999998,31.14354,1.2866900000000001,0.8014348446729902
256x256 f30 IPB,32,10,0.44821838378906254,0.0005576908100479453,0.0003989479723641718,0.4474862840440538,0.4483927408854167,0.4489208645290798,1.0,8796.406,10.964635272851815,33.230000000000004,27.18804,26.981659999999998,27.63429,27.63127,1.29295,0.3641581839003313
256x256 f30 IPB,36,10,0.3642183430989583,0.0007506108107058854,0.0005369546271346944,0.3629627143012153,0.3643671671549479,0.36479653252495653,1.0,7144.897,14.756717528712871,37.230000000000004,23.696089999999998,23.036929999999998,25.419220000000003,25.42303,1.3055400000000001,0.003107719144528897
256x256 f30 IPB,40,10,0.2693407864040799,0.0005243421628354034,0.0003750917872759006,0.2686172146267361,0.26942918565538193,0.2699881829155816,1.0,5279.529,10.30749506157745,41.230000000000004,20.04016,19.00969,23.372310000000006,23.36967,1.2745,0.7828924803909308
256x256 f30 IPB,44,10,0.17473517523871523,0.00015513249416974022,0.00011097510104477754,0.17451300726996524,0.1747273763020833,0.1749637858072916,1.0,3419.506,3.048902170363071,45.230000000000004,16.2029,15.00918,20.55027,20.55517,1.1690999999999998,0.9058223263497892
256x256 f30 IPB,48,10,0.049784986707899256,0.0010323952771177718,0.0007385310911776961,0.04835710313585065,0.0497597588433159,0.051309051513671836,1.0,962.8860000000001,20.297139480998574,49.230000000000004,11.618670000000002,11.687720000000002,11.482760000000003,11.48504,0.51441,0.8729524576405381
256x256 f30 IPB,51,10,0.00702067057291661,0.00016258401298499485,0.00011630559648924028,0.00678397284613708,0.00706210666232635,0.00723753187391486,1.0,122.10499999999999,3.196113090753972,52.23,10.47834,10.49805,10.437660000000001,10.44107,0.15592,0.7103250705089366
640x360 f10 IPB,0,10,1.4864997395833333,0.00023344255348455663,0.00016699474278260382,1.4861264322916667,1.4865734953703704,1.4867422164351853,0.0,102701.224,16.13288305156949,0.0,57.33549000000001,56.59783,59.33592000000001,59.352,0.93545,0.14672668591372307
640x360 f10 IPB,4,10,1.2603597800925928,0.000180227944511254,0.00012892730475502328,1.2600823350694443,1.2603334780092594,1.260548582175926,0.0,87069.912,12.455516225532826,4.9,53.09895,52.92269,53.47432,53.47466000000001,0.95594,0.1451495236732876
640x360 f10 IPB,8,10,1.0964815393518519,0.000618296978123367,0.00044230301324134347,1.0958885416666666,1.0962637442129628,1.0975164062500002,0.0,75742.64499999999,42.73650358755034,8.900000000000002,50.10821,49.983850000000004,50.36716,50.3692,1.01571,0.08368555080031659
640x360 f10 IPB,10,10,1.0283767939814816,0.0006305022044935011,0.0004510341062141543,1.0277916666666667,1.0281977719907407,1.0294112268518518,0.0,71035.22699999998,43.58299746205917,10.900000000000002,48.457350000000005,48.36176,48.65569,48.65449000000001,1.02867,0.010287007915107602
640x360 f10 IPB,12,10,0.9635243344907408,0.0008066160504482462,0.0005770183621549349,0.9624527922453703,0.9634800347222222,0.9645820023148147,1.0,66552.623,55.75288374205929,12.9,46.61268999999999,46.56962,46.70049,46.699870000000004,1.05731,0.40210360239617
640x360 f10 IPB,14,10,0.9100653356481481,0.0005570367069575184,0.00039848005520121816,0.9092981626157408,0.9101494502314815,0.9108683159722221,1.0,62857.537,38.502459964701146,14.9,44.652890000000006,44.76981,44.43154,44.42456,1.06034,0.8429837558600544
640x360 f10 IPB,16,10,0.8559981770833334,0.0008171535261957287,0.000584556418202395,0.8549734230324074,0.8558945312499999,0.8573187789351852,1.0,59120.415,56.48310253714989,16.9,42.75278999999999,42.946830000000006,42.38861,42.389300000000006,1.06668,0.06742899983414515
